client_id,bureau_account_id,account_type,opened_days_ago,credit_limit,current_balance,max_dpd_last_12m,bureau_status
1,B1_0,credit_card,2410.0,20474.7,5760.1,0.0,active
2,B2_1,,2983.0,61748.02,47175.1,1.0,active
3,B3_2,auto,943.0,93069.06,40725.25,15.0,active
3,B3_3,mortgage,2355.0,173852.51,57974.36,7.0,closed
3,B3_4,credit_card,302.0,24037.79,7801.91,1.0,closed
3,B3_5,consumer,2230.0,79926.76,45320.67,0.0,closed
3,B3_6,credit_card,2662.0,42290.06,20744.89,30.0,
4,B4_7,consumer,2688.0,64796.73,7857.52,0.0,closed
4,B4_8,consumer,972.0,150745.63,55673.15,0.0,active
4,B4_9,credit_card,1752.0,92655.08,13561.48,1.0,active
4,B4_10,consumer,2357.0,25438.27,22021.69,1.0,active
5,B5_11,consumer,2447.0,,35350.72,0.0,active
5,B5_12,microloan,184.0,48948.09,36383.41,1.0,closed
5,B5_13,consumer,678.0,39936.44,15182.5,0.0,
6,B6_14,credit_card,2933.0,50966.73,34572.29,7.0,active
7,B7_15,auto,2254.0,31618.06,7495.61,0.0,active
8,B8_16,credit_card,688.0,114029.41,47263.4,0.0,closed
9,B9_17,credit_card,313.0,92560.36,41464.4,0.0,active
9,B9_18,consumer,545.0,131292.83,76306.03,0.0,active
9,B9_19,credit_card,333.0,188265.99,88857.84,0.0,active
9,B9_20,consumer,274.0,201511.86,118486.65,0.0,closed
10,B10_21,,1538.0,174606.77,46813.2,0.0,active
10,B10_22,credit_card,736.0,49990.12,,1.0,closed
10,B10_23,auto,491.0,21247.18,10526.91,3.0,active
10,B10_24,consumer,,35836.39,20666.91,7.0,active
10,B10_25,auto,1812.0,41361.5,15041.02,0.0,active
11,B11_26,consumer,384.0,106002.09,53035.36,30.0,closed
11,B11_27,microloan,1229.0,116975.59,73342.71,15.0,closed
11,B11_28,consumer,595.0,91595.45,60523.73,30.0,closed
11,B11_29,consumer,999.0,110672.25,62827.01,60.0,active
12,B12_30,mortgage,433.0,85223.61,48797.91,0.0,active
12,B12_31,auto,1458.0,69236.2,45398.22,7.0,active
12,B12_32,,2889.0,22247.19,9123.74,60.0,active
13,B13_33,microloan,2483.0,74835.31,30471.3,1.0,closed
14,B14_34,credit_card,2845.0,62238.85,22548.88,60.0,active
14,B14_35,credit_card,1277.0,116816.83,28836.53,30.0,active
14,B14_36,consumer,2427.0,133525.87,61577.34,0.0,active
14,B14_37,mortgage,2938.0,89700.79,65446.63,0.0,active
14,B14_38,consumer,308.0,36652.77,14943.09,30.0,closed
14,B14_39,consumer,1472.0,59886.63,31362.91,3.0,closed
15,B15_40,consumer,2288.0,201665.73,91395.78,0.0,active
15,B15_41,credit_card,2997.0,34821.1,9550.06,0.0,active
15,B15_42,mortgage,180.0,38413.61,21238.14,0.0,closed
15,B15_43,consumer,1160.0,87701.53,48953.62,0.0,active
15,B15_44,auto,1773.0,86178.28,37634.34,0.0,active
16,B16_45,microloan,1817.0,124470.81,30888.6,0.0,active
16,B16_46,credit_card,1491.0,54003.17,39995.36,1.0,closed
16,B16_47,credit_card,2773.0,136407.36,45690.76,0.0,active
17,B17_48,credit_card,2558.0,52856.93,19310.17,3.0,active
17,B17_49,mortgage,533.0,38828.7,21759.15,60.0,active
18,B18_50,microloan,944.0,23011.44,11853.04,3.0,active
18,B18_51,microloan,2599.0,65871.46,50446.87,0.0,closed
18,B18_52,credit_card,174.0,91878.26,59021.01,15.0,active
19,B19_53,microloan,942.0,34133.27,24914.0,0.0,active
19,B19_54,mortgage,751.0,22480.48,12785.14,0.0,closed
19,B19_55,consumer,1625.0,185211.43,112537.07,0.0,active
20,B20_56,consumer,1079.0,117318.1,41753.8,0.0,active
21,B21_57,credit_card,2098.0,31314.34,11826.0,0.0,closed
21,B21_58,mortgage,411.0,272132.38,100127.18,15.0,active
21,B21_59,credit_card,,28050.85,16050.67,30.0,active
21,B21_60,consumer,,98625.31,20136.33,0.0,active
21,B21_61,consumer,109.0,58993.15,,0.0,active
22,B22_62,mortgage,,35986.43,30242.56,0.0,active
22,B22_63,credit_card,819.0,69678.08,22578.02,7.0,active
22,B22_64,microloan,2027.0,134201.93,76940.74,30.0,closed
23,B23_65,auto,2963.0,81172.29,54947.25,3.0,closed
23,B23_66,auto,2327.0,39519.54,17599.62,0.0,active
23,B23_67,consumer,2820.0,14331.49,1410.66,0.0,active
23,B23_68,credit_card,426.0,131968.91,10803.61,0.0,closed
23,B23_69,mortgage,2307.0,115790.1,29872.8,15.0,active
24,B24_70,consumer,1681.0,47126.72,11252.73,30.0,active
24,B24_71,consumer,2551.0,28346.28,21444.09,3.0,active
24,B24_72,microloan,,44520.15,23689.2,3.0,active
24,B24_73,,2964.0,12947.29,2429.68,3.0,closed
24,B24_74,credit_card,2212.0,41719.52,6333.86,0.0,
25,B25_75,microloan,2308.0,103449.08,37400.96,1.0,active
25,B25_76,mortgage,1757.0,113929.43,39759.26,0.0,
25,B25_77,microloan,2489.0,50494.65,14759.3,60.0,closed
26,B26_78,consumer,2837.0,109261.8,49845.5,0.0,active
26,B26_79,consumer,1089.0,52128.83,37224.62,15.0,active
26,B26_80,consumer,2681.0,37028.66,4772.58,,active
27,B27_81,microloan,1043.0,,68562.45,60.0,active
28,B28_82,auto,1756.0,23930.35,9878.54,30.0,active
29,B29_83,microloan,137.0,142759.06,61094.82,0.0,active
29,B29_84,microloan,1044.0,20133.93,5362.81,15.0,closed
29,B29_85,credit_card,2504.0,36514.6,24418.32,1.0,closed
29,B29_86,credit_card,1027.0,93488.83,61682.32,30.0,active
30,B30_87,consumer,2734.0,65473.55,28898.06,0.0,closed
30,B30_88,microloan,271.0,26925.78,10060.54,7.0,active
30,B30_89,consumer,455.0,72963.38,67553.85,0.0,active
31,B31_90,consumer,2814.0,128285.23,87117.13,0.0,
31,B31_91,credit_card,2267.0,15475.66,4752.18,0.0,closed
31,B31_92,mortgage,,93607.07,33100.47,15.0,closed
32,B32_93,credit_card,2899.0,38288.27,30483.41,,closed
33,B33_94,consumer,525.0,40557.17,19351.73,1.0,closed
33,B33_95,consumer,2280.0,67845.65,29502.76,15.0,closed
34,B34_96,,2820.0,46224.18,,7.0,closed
34,B34_97,credit_card,1080.0,60790.21,29799.02,60.0,active
34,B34_98,consumer,271.0,35704.7,23150.93,15.0,active
34,B34_99,consumer,2975.0,,17516.33,0.0,closed
34,B34_100,microloan,1394.0,24141.66,11246.57,0.0,active
35,B35_101,consumer,2088.0,334136.28,111277.49,90.0,closed
36,B36_102,consumer,532.0,99275.47,13133.01,0.0,active
37,B37_103,credit_card,2431.0,22055.02,11884.04,0.0,active
37,B37_104,mortgage,2869.0,26651.33,6610.92,60.0,closed
38,B38_105,consumer,1275.0,197865.39,84183.07,0.0,closed
38,B38_106,credit_card,62.0,38888.75,13981.82,0.0,active
38,B38_107,consumer,2875.0,16703.02,8617.45,3.0,active
38,B38_108,consumer,1933.0,60503.13,16689.59,60.0,closed
39,B39_109,microloan,426.0,33543.53,18474.12,3.0,active
39,B39_110,consumer,,35592.15,3374.89,30.0,active
40,B40_111,credit_card,1163.0,20690.1,7724.3,0.0,active
41,B41_112,auto,2113.0,33929.2,17217.61,30.0,active
42,B42_113,consumer,293.0,63947.86,17020.06,0.0,active
42,B42_114,mortgage,2632.0,36175.47,6947.03,0.0,active
42,B42_115,consumer,2106.0,25175.09,8304.22,0.0,active
