application_id,client_id,employment_type,hash_id,region_coefficient_extended,age,incoming_amount,internal_decision_code,monthly_income,application_date,education,requested_product,channel,loan_amount,marketing_segment,post_loan_collection_score,region_coefficient,region,interest_rate,months_at_job,dependents,days_until_first_overdue,loan_term_months,siberia_northern_score,target
107941,7941,employee,61441390.0,1.0,37.0,30401.28,,30401.28,2025-08-11,bachelor,refinance,partner,63464.49,segment_011,800.87,1.0,east,0.3062,31.0,0.0,61.0,24.0,0.336102,1
101163,1163,employee,67321556.0,0.0,60.0,26024.64,manual_review_bad,26024.64,2025-12-29,school,card,mobile,113513.59,segment_067,721.57,1.0,ural,0.1383,90.0,0.0,82.0,6.0,0.560893,1
100583,583,contractor,26719968.0,0.0,37.0,21389.83,vip,21389.83,2025-11-09,college,cash,,48993.42,,,1.0,west,0.1729,57.0,1.0,999.0,9.0,,0
104082,4082,,45184358.0,0.0,,31617.26,approved_auto,,2025-02-23,college,card,web,77765.78,segment_089,170.91,1.0,ural,0.3585,19.0,0.0,999.0,36.0,,0
108413,8413,employee,58267524.0,0.0,60.0,18000.0,approved_auto,18000.0,2025-12-07,bachelor,card,mobile,97254.1,segment_063,,1.0,west,0.1472,405.0,0.0,730.0,9.0,0.741053,0
108731,8731,employee,20925269.0,0.0,59.0,18000.0,manual_review_bad,18000.0,2025-03-10,school,cash,mobile,100363.28,segment_031,741.58,1.0,north,0.229,83.0,0.0,98.0,18.0,0.29086,1
105937,5937,employee,67782169.0,0.0,51.0,45401.24,,45401.24,2025-12-13,bachelor,cash,office,140714.04,segment_112,890.18,1.0,north,0.1492,,1.0,118.0,9.0,0.90801,1
108284,8284,employee,42370683.0,,46.0,81865.87,,81865.87,2025-01-15,school,cash,web,46631.06,segment_020,541.64,1.0,south,0.1755,169.0,1.0,,12.0,,0
103707,3707,employee,45822465.0,0.0,38.0,18343.52,approved_manual,18343.52,,school,pos,web,66207.45,segment_068,360.18,1.0,south,0.1992,167.0,2.0,999.0,12.0,0.916006,0
104072,4072,employee,52146015.0,0.0,31.0,20655.22,approved_auto,,2025-11-03,college,cash,mobile,106079.09,segment_125,325.96,1.0,ural,0.1745,94.0,0.0,,12.0,0.708841,0
103754,3754,self_employed,79408483.0,0.0,31.0,58476.79,,58476.79,2025-04-27,bachelor,auto,,64767.3,segment_017,,1.0,south,0.3178,40.0,0.0,1001.0,24.0,0.871103,0
