client_id,previous_loan_id,previous_amount,previous_term_months,closed_days_ago,was_overdue,max_overdue_days
2,L2_0,51911.71,3.0,986.0,1.0,3.0
2,L2_1,64582.12,24.0,1172.0,0.0,0.0
3,L3_2,27102.97,3.0,744.0,0.0,0.0
4,L4_3,56399.68,12.0,139.0,1.0,15.0
4,L4_4,73117.38,18.0,548.0,0.0,0.0
5,L5_5,66866.98,,1314.0,1.0,30.0
5,L5_6,83862.3,18.0,1120.0,1.0,1.0
6,L6_7,76959.39,36.0,151.0,0.0,0.0
7,L7_8,74320.82,12.0,647.0,0.0,0.0
7,L7_9,103399.43,18.0,1398.0,0.0,0.0
7,L7_10,42866.8,9.0,388.0,1.0,7.0
8,L8_11,19294.54,18.0,1339.0,0.0,0.0
8,L8_12,74415.09,36.0,1095.0,0.0,0.0
10,L10_13,75780.23,36.0,,0.0,0.0
10,L10_14,88711.28,24.0,1026.0,0.0,0.0
10,L10_15,75080.73,6.0,822.0,0.0,0.0
12,L12_16,37325.16,12.0,1103.0,0.0,0.0
14,L14_17,51266.33,9.0,1355.0,0.0,0.0
17,L17_18,35795.19,18.0,84.0,0.0,0.0
18,L18_19,19846.7,3.0,772.0,0.0,0.0
18,L18_20,63603.36,18.0,1523.0,0.0,0.0
18,L18_21,49877.97,3.0,379.0,0.0,0.0
18,L18_22,49562.65,3.0,701.0,0.0,0.0
19,L19_23,42201.96,6.0,1542.0,0.0,0.0
19,L19_24,50014.46,9.0,334.0,0.0,0.0
20,L20_25,152151.04,12.0,137.0,0.0,0.0
20,L20_26,59692.97,12.0,1196.0,1.0,15.0
20,L20_27,53196.19,3.0,26.0,1.0,3.0
22,L22_28,33825.9,9.0,1353.0,0.0,0.0
23,L23_29,,6.0,726.0,0.0,0.0
24,L24_30,95733.36,3.0,423.0,0.0,0.0
25,L25_31,20033.21,3.0,779.0,0.0,0.0
25,L25_32,62065.66,3.0,1078.0,0.0,0.0
26,L26_33,145288.77,36.0,1286.0,1.0,3.0
27,L27_34,24032.16,12.0,1139.0,0.0,0.0
27,L27_35,164489.96,9.0,190.0,0.0,0.0
27,L27_36,41781.3,36.0,1493.0,0.0,0.0
28,L28_37,31247.89,18.0,538.0,0.0,0.0
29,L29_38,124705.32,,464.0,0.0,
30,L30_39,51056.72,24.0,1137.0,0.0,0.0
30,L30_40,38497.21,3.0,219.0,0.0,0.0
31,L31_41,38039.15,3.0,1114.0,0.0,0.0
32,L32_42,39379.05,24.0,1281.0,0.0,
32,L32_43,34547.64,12.0,45.0,0.0,0.0
32,L32_44,110276.01,3.0,1068.0,1.0,15.0
35,L35_45,89934.01,36.0,1393.0,0.0,0.0
36,L36_46,47050.11,,1083.0,0.0,0.0
36,L36_47,52314.48,36.0,22.0,0.0,0.0
36,L36_48,74213.42,12.0,731.0,0.0,0.0
37,L37_49,60009.47,24.0,612.0,0.0,0.0
39,L39_50,80406.91,,1294.0,0.0,0.0
39,L39_51,68713.96,36.0,714.0,1.0,1.0
40,L40_52,18686.77,3.0,121.0,0.0,0.0
41,L41_53,32370.88,,209.0,0.0,0.0
41,L41_54,33632.39,12.0,164.0,0.0,0.0
41,L41_55,29251.51,6.0,725.0,0.0,0.0
41,L41_56,58337.76,6.0,1166.0,0.0,0.0
41,L41_57,109277.84,6.0,280.0,0.0,0.0
41,L41_58,56995.74,12.0,726.0,1.0,3.0
43,L43_59,19451.78,18.0,1278.0,0.0,0.0
43,L43_60,40453.3,9.0,1247.0,0.0,0.0
43,L43_61,62636.32,24.0,721.0,0.0,0.0
43,L43_62,45566.12,6.0,782.0,0.0,0.0
44,L44_63,41220.88,9.0,157.0,0.0,0.0
44,L44_64,64148.35,24.0,1218.0,0.0,0.0
44,L44_65,47881.45,18.0,1372.0,0.0,0.0
45,L45_66,29270.98,12.0,389.0,0.0,0.0
45,L45_67,35907.65,3.0,1386.0,0.0,0.0
46,L46_68,44264.16,6.0,29.0,1.0,60.0
46,L46_69,51065.94,6.0,728.0,0.0,0.0
46,L46_70,64610.55,,790.0,1.0,15.0
47,L47_71,52630.98,3.0,1091.0,0.0,0.0
47,L47_72,71139.15,24.0,343.0,0.0,0.0
47,L47_73,48328.88,9.0,767.0,0.0,0.0
48,L48_74,67359.8,3.0,670.0,0.0,0.0
49,L49_75,,6.0,230.0,0.0,0.0
50,L50_76,88002.06,12.0,303.0,0.0,0.0
53,L53_77,45312.69,12.0,1050.0,0.0,0.0
55,L55_78,42603.28,36.0,719.0,0.0,0.0
55,L55_79,46307.7,18.0,915.0,0.0,0.0
56,L56_80,12927.54,12.0,473.0,0.0,0.0
56,L56_81,44348.92,24.0,434.0,1.0,7.0
